mouse_life_stage,E9.5
parameter_id,MGP_IMM_099_001
parameter_name,Effector NK cells - % of CD45+
pvalue,0.2084135
analysis_id,2sl8c28vwl2tm4r
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_strain,C57BL
