analysis_id,02475y3btfk081p
gene_symbol,Gja10
parameter_id,IMPC_CSD_028_001
gene_accession_id,MGI:1339969
mouse_strain,C57BL
pvalue,0.8008472
parameter_name,Snout size
mouse_life_stage,Early adult
