analysis_id,cg27iz8ex6551lu
gene_accession_id,MGI:88174
pvalue,0.716937
parameter_id,ESLIM_016_001_002
mouse_life_stage,Early adult
parameter_name,Red blood cell count
gene_symbol,Bmi1
mouse_strain,C57BL
