mouse_life_stage,Early adult
gene_symbol,Bcs1l
pvalue,0.758171
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
analysis_id,r5j4c7923c1rbbg
