gene_symbol,Atg4c
mouse_strain,C57BL
analysis_id,a61747a940ol5f1
pvalue,0.2958215
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_017_001
parameter_name,Triglycerides
gene_accession_id,MGI:2651854
