analysis_id,2i4bc46cj8skzje
parameter_id,IMPC_IMM_004_002
mouse_strain,C57BL
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
gene_symbol,Gja10
pvalue,0.6015362
