parameter_name,Fusion of vertebrae
analysis_id,431t593wpggqhvz
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
gene_accession_id,MGI:1345282
pvalue,0.4893754
mouse_life_stage,Late adult
gene_symbol,Slc30a4
