gene_symbol,Zmynd8
analysis_id,8i4vmp5qvsy08uq
parameter_name,Limb coat/hair presence
mouse_life_stage,Early adult
pvalue,0.08556437
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:1918025
mouse_strain,129SV
