gene_symbol,Lpgat1
mouse_life_stage,Late adult
analysis_id,m010i1837t6kqx8
parameter_id,MGP_IMM_067_001
pvalue,0.4788291
parameter_name,CD11b-low cDC - % of cDC
gene_accession_id,MGI:2446186
mouse_strain,C57BL
