analysis_id,e7310714kiuj674
parameter_id,MGP_IMM_004_001
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_life_stage,Early adult
mouse_strain,C3H
gene_symbol,Mecom
pvalue,0.6275202
gene_accession_id,MGI:95457
