analysis_id,4382py812u8f796
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_accession_id,MGI:96646
parameter_id,MGP_IMM_071_001
gene_symbol,Jun
pvalue,0.2299992
