analysis_id,nn5a23k67kr708s
pvalue,0.06161801
parameter_name,Eyelid morphology
gene_symbol,Maco1
gene_accession_id,MGI:1913396
parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
