parameter_name,Zygomatic bone
gene_symbol,Hpca
analysis_id,882xi37q744fc63
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
pvalue,0.6957529
gene_accession_id,MGI:1336200
