gene_symbol,Bmi1
pvalue,0.2882926
analysis_id,i16ax2654tas8vk
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Edema
parameter_id,IMPC_GEO_064_001
gene_accession_id,MGI:88174
