analysis_id,9h447w9p61y59yo
pvalue,0.9809517
mouse_strain,C57BL
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_id,IMPC_ECG_003_001
parameter_name,CV
mouse_life_stage,E12.5
