parameter_name,Clavicle
analysis_id,6i8q309b5m75fm7
mouse_strain,C57BL
pvalue,0.2629607
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
gene_symbol,Casq1
parameter_id,IMPC_XRY_007_001
