analysis_id,4oq69jdq34n5h03
parameter_id,IMPC_EYE_056_001
parameter_name,Mean left eye lens density
mouse_life_stage,Early adult
pvalue,0.5195869
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
mouse_strain,C57BL
