parameter_name,Zygomatic bone
pvalue,0.6983673
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_002_001
gene_symbol,Nr0b2
mouse_strain,B6J
analysis_id,5n1ufgiuu35wb09
