gene_symbol,Cmpk1
analysis_id,5wt51c1to988408
pvalue,0.7053072
mouse_life_stage,Early adult
parameter_id,MGP_IMM_078_001
mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_name,Resting Treg cells - % of CD45+
