analysis_id,du5kxn6b00s399w
mouse_life_stage,E12.5
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_strain,C57BL
pvalue,0.2106139
parameter_name,Weight
