parameter_name,Radius
gene_symbol,Frmpd1
mouse_strain,C57BL
analysis_id,711519rzuw778vx
pvalue,0.5599617
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
