analysis_id,06wk6rq70v12822
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
gene_accession_id,MGI:1924054
pvalue,0.3547632
gene_symbol,Kdm4c
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
