mouse_life_stage,E12.5
parameter_name,White blood cell count
gene_symbol,Eprs1
pvalue,0.5944741
gene_accession_id,MGI:97838
parameter_id,IMPC_HEM_001_001
analysis_id,z2774wsc7tco217
mouse_strain,C57BL
