parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
mouse_strain,C57BL
gene_symbol,F2
analysis_id,47c267v1068kb9a
pvalue,0.2743364
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
