analysis_id,tg9cruuxbxvq96z
parameter_name,Naive CD8+ T cells - % of CD8+
pvalue,0.3153108
parameter_id,MGP_MLN_015_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
