parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:2674093
pvalue,0.4749054
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,ltwa57wk7l746u4
gene_symbol,Psd4
parameter_id,IMPC_IPG_010_001
