analysis_id,2qs6kr9198efv47
mouse_life_stage,Late adult
parameter_id,IMPC_IMM_069_001
pvalue,0.549692
gene_accession_id,MGI:1336200
parameter_name,Transitional B Cells (CD21/35 low)
mouse_strain,C57BL
gene_symbol,Hpca
