Gene_symbol,Maco1
Parameter_name,center - resting time
Mouse_life_stage,Early adult
Parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:1913396
Pvalue,0.456954
Mouse_strain,C57BL
Analysis_id,o97w8w70gw3a9j5
