parameter_name,Upper teeth appearance
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,IMPC_CSD_069_001
pvalue,0.8024991
gene_accession_id,MGI:88174
analysis_id,c1e2u0f4k1azz27
