analysis_id,7k0vyav8z29619c
gene_accession_id,MGI:1924315
pvalue,0.6177143
mouse_life_stage,E9.5
parameter_id,IMPC_CSD_008_001
mouse_strain,C57BL
gene_symbol,Ints7
parameter_name,Coat - color pattern - back
