gene_symbol,Pld1
pvalue,0.4697786
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
parameter_name,Percentage center time
mouse_strain,C57BL
parameter_id,JAX_OFD_022_001
analysis_id,jtr4y0gb7t260ci
