gene_symbol,Tubb4b
parameter_name,Heart weight
gene_accession_id,MGI:1915472
parameter_id,IMPC_HWT_008_001
analysis_id,qfs1ro856ap9slu
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1809276
