gene_symbol,Plcb1
parameter_id,IMPC_EYE_009_001
analysis_id,zt149pc2n877322
gene_accession_id,MGI:97613
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.5473419
parameter_name,Corneal vascularization
