analysis_id,l66ci410hjp45q2
mouse_life_stage,Early adult
pvalue,0.8139265
mouse_strain,C57BL
parameter_id,TCPLA_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Inpp1
gene_accession_id,MGI:104848
