gene_symbol,Bmp7
gene_accession_id,MGI:103302
parameter_id,JAXLA_OFD_020_001
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
mouse_strain,C57BL
pvalue,0.6479045
analysis_id,7x8j7819y335f1e
