gene_symbol,Kifap3
parameter_name,110dB startle magnitude
pvalue,0.2189773
mouse_strain,C57BL
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:107566
analysis_id,0zdzrogfh0zlx90
mouse_life_stage,Early adult
