analysis_id,uog690z3f59gt42
mouse_life_stage,Early adult
gene_symbol,Nipal3
pvalue,0.1368709
gene_accession_id,MGI:1921802
mouse_strain,129SV
parameter_name,Body position
parameter_id,ESLIM_008_001_001
