analysis_id,4uywt616q558w70
gene_accession_id,MGI:1919949
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
pvalue,0.5874448
gene_symbol,Lime1
parameter_id,JAXLA_CSD_007_001
mouse_life_stage,Early adult
