gene_symbol,Ola1
pvalue,0.6759698
analysis_id,106684319kq92u7
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,DN CD25- NKT cells
parameter_id,IMPC_IMM_025_001
gene_accession_id,MGI:1914309
