analysis_id,n7haa45gsnp1j2f
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
gene_symbol,Wars2
mouse_strain,C57BL
pvalue,0.8658919
gene_accession_id,MGI:1917810
parameter_id,JAXLA_DXA_007_001
