parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
pvalue,0.05610992
parameter_name,Vocalization
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
analysis_id,8o0t6460t73y2p6
