analysis_id,418ye4jrd30j7hi
gene_accession_id,MGI:1345282
parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
mouse_life_stage,Late adult
pvalue,0.9161937
gene_symbol,Slc30a4
mouse_strain,C57BL
