gene_symbol,Hspa5
mouse_life_stage,E9.5
parameter_id,MGP_MLN_074_001
gene_accession_id,MGI:95835
analysis_id,8r5z7t7276r654x
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.6983098
mouse_strain,C57BL
