gene_symbol,Lcn2
parameter_name,Total T cell percentage
gene_accession_id,MGI:96757
analysis_id,69280794l303sg0
parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6642891
