parameter_name,Periphery distance travelled
analysis_id,h8677boi96sg2w8
pvalue,0.4341488
mouse_strain,C57BL
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
parameter_id,ESLIM_007_001_006
