parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
mouse_strain,C57BL
pvalue,0.6119094
gene_accession_id,MGI:1915848
analysis_id,129rp7ruc3bxana
gene_symbol,Dnajc8
mouse_life_stage,Early adult
