analysis_id,vmzfa5d6lv8k6n1
parameter_name,Blood Vessel Morphology
gene_symbol,Atf3
pvalue,0.08603136
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
mouse_strain,C57BL
