analysis_id,855270lfwu9l27f
parameter_name,Others
mouse_life_stage,Early adult
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_id,IMPC_IMM_006_001
mouse_strain,C57BL
pvalue,0.7229452
