gene_symbol,Kdm4c
analysis_id,4ualk751e8805xj
mouse_life_stage,Early adult
parameter_id,MGP_IMM_028_001
gene_accession_id,MGI:1924054
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
pvalue,0.8894526
mouse_strain,C57BL
