analysis_id,0hwk9j2x16l9m2c
mouse_strain,C57BL
gene_accession_id,MGI:1922082
parameter_id,HMGULA_CBC_005_001
gene_symbol,Slc45a3
parameter_name,Creatinine
mouse_life_stage,Early adult
pvalue,0.5138341
