parameter_name,Startle response
gene_accession_id,MGI:1309468
analysis_id,g4b5pq5495m063v
parameter_id,ESLIM_008_001_013
pvalue,0.3594766
mouse_strain,C57BL
gene_symbol,Casq1
mouse_life_stage,Early adult
