analysis_id,089hi678559a13x
pvalue,0.8993438
parameter_name,Heart weight
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
