parameter_name,Creatinine
pvalue,0.4964423
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_005_001
mouse_strain,C57BL
analysis_id,066dqv56o789024
gene_symbol,Opn3
