parameter_name,Left total retinal thickness
parameter_id,IMPC_EYE_068_001
mouse_life_stage,E12.5
analysis_id,04zau93f6317oae
pvalue,0.1422388
mouse_strain,C57BL
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
