parameter_name,Alkaline phosphatase
parameter_id,HRWLLA_CBC_014_001
pvalue,0.162881
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
mouse_strain,C57BL
analysis_id,62tq5u10smya2of
gene_symbol,Rab13
