analysis_id,93ob0q5hvw9iucu
gene_symbol,Bcs1l
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.5616659
parameter_id,MGP_MLN_009_001
parameter_name,Effector Treg cells - % of Treg
