gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
analysis_id,6q414chrzx31l09
mouse_life_stage,Early adult
pvalue,0.6388435
parameter_id,JAX_SLW_013_001
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
