analysis_id,8zwvg03w0kr81a1
mouse_life_stage,E9.5
parameter_name,Mean cell volume
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,0.1406378
parameter_id,ESLIM_016_001_005
