gene_symbol,Ssr2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:1913506
analysis_id,18s3k3t22a84lvf
pvalue,0.9691311
parameter_name,Global prepulse inhibition
