parameter_name,Follicular B Cells (CD21/35+)
mouse_strain,129SV
analysis_id,1c1u2lu2m6o546p
gene_accession_id,MGI:99605
parameter_id,IMPC_IMM_067_001
pvalue,0.7055058
gene_symbol,Cntfr
mouse_life_stage,Early adult
