parameter_name,Limb coat/hair presence
gene_symbol,Mecom
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
mouse_strain,C3H
analysis_id,mmz7xaq06c43313
parameter_id,MGP_CSD_030_001
pvalue,0.880929
