parameter_name,Ventral coat/hair presence
analysis_id,p968l830949a59q
parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
pvalue,0.7472308
gene_accession_id,MGI:1341628
gene_symbol,Atrn
mouse_strain,C57BL
