parameter_name,White blood cell-count
pvalue,0.2785749
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
parameter_id,M-G-P_016_001_001
analysis_id,r17a332x2t7p679
mouse_life_stage,Early adult
mouse_strain,C57BL
