analysis_id,ctxedh50s3br3v0
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_033_001
gene_symbol,Cdin1
mouse_strain,C57BL
gene_accession_id,MGI:3026886
parameter_name,Tibia length
pvalue,0.7728844
